"series","region","subregion","ICES_ecoregion","country","station_code","station_name","station_long_name","latitude","longitude","MSTAT","WLTYP","determinand","determinand_group","species","matrix","basis","unit","sex","metoa","mammal_group","shape","colour","n_year_all","n_year_fit","n_year_positive","first_year_all","first_year_fit","last_year","p_nonlinear","p_linear","p_overall","p_linear_trend","linear_trend","p_recent_trend","recent_trend","detectable_trend","mean_last_year","climit_last_year","BAC_type","BAC_value","BAC_diff","BAC_achieved","BAC_below","EAC_type","EAC_value","EAC_diff","EAC_achieved","EAC_below","HQS","HQS_diff","HQS_achieved","HQS_below"
"Norway_98A2 Husvaagen area HG Mytilus edulis SB Not_applicable","1","Barents Sea","Norwegian Sea","Norway","4990","98A2 Husvaagen area","98A2 Svolvær airport area",68.24917,14.6627,"B","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","green",22,22,22,1997,1997,2020,0.0101,0.0078,2e-4,0.0029,-2,0.1115,-1.1,7.8,96.0527484632437,116.37301950740016,"BAC",90,26.37301950740016,2026,"above","EQS.OSPAR",121.95121951219514,-5.578200004794979,2020,"below",3048.7804878048782,-2932.407468297478,2020,"below"
"Norway_98B1 Bjørnerøya (east) HG Gadus morhua MU Not_applicable","1","Barents Sea","Norwegian Sea","Norway","4994","98B1 Bjørnerøya (east)","98B1 Austnesfjord, Lofoten",68.18577,14.70814,"B","CF","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","large_filled_circle","red",25,25,25,1992,1992,2020,,0.5941,0.5941,0.5941,0.5,0.5941,0.5,15.5,71.86094743796784,91.85319030063125,,,,,,"EQS.OSPAR",20,71.85319030063125,3000,"above",500,-408.14680969936876,2020,"below"
"Norway_I965 Moholmen (B5) HG Mytilus edulis SB Not_applicable","1","Barents Sea","Norwegian Sea","Norway","4773","I965 Moholmen (B5)","I965 Moholmen, Inner Ransfjord",66.31167,14.12533,"IH","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","green",12,5,4,2002,2016,2020,,,,,,,,18.9,55.2910596832717,91.90037002445881,"BAC",90,1.9003700244588089,2020,"below","EQS.OSPAR",121.95121951219514,-30.05084948773633,2020,"below",3048.7804878048782,-2956.8801177804194,2020,"below"
"Norway_Svalbard HG Ursus maritimus HA Adult_female","1","Barents Sea",,"Norway","A47001","Svalbard",,77.875,20.975,,,"HG","Metals","Ursus maritimus","HA","D","ug/kg",,,"Adult_female","large_filled_circle","blue",20,20,20,1995,1995,2016,,0.8425,0.8425,0.8425,0.2,0.8425,0.2,9.3,1887.0851997115058,2216.870796578271,"BAC",6100,-3883.129203421729,2016,"below","EQS.OSPAR",24400,-22183.12920342173,2016,"below",,,,
"Norway_Svalbard HG Ursus maritimus HA Juvenile","1","Barents Sea",,"Norway","A47001","Svalbard",,77.875,20.975,,,"HG","Metals","Ursus maritimus","HA","D","ug/kg",,,"Juvenile","","black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denmark_Ittoqqortoormiit District HG Phoca hispida LI Adult","1","East of Iceland","Greenland Sea","Denmark","12832","Ittoqqortoormiit District","Mammals procured from Ittoqqortoormiit District",70.3,-22,"RH","MO","HG","Metals","Phoca hispida","LI","W","ug/kg",,,"Adult","large_filled_circle","blue",14,14,14,1986,1986,2018,,0.499,0.499,0.499,0.6,0.499,0.6,11.2,8456.654186435046,10837.0093930298,"BAC",16000,-5162.990606970199,2018,"below","EQS.OSPAR",64000,-53162.9906069702,2018,"below",,,,
"Denmark_Ittoqqortoormiit District HG Phoca hispida LI Juvenile","1","East of Iceland","Greenland Sea","Denmark","12832","Ittoqqortoormiit District","Mammals procured from Ittoqqortoormiit District",70.3,-22,"RH","MO","HG","Metals","Phoca hispida","LI","W","ug/kg",,,"Juvenile","large_filled_circle","blue",14,14,14,1986,1986,2018,,0.1305,0.1305,0.1305,2.2,0.1305,2.2,18.3,4769.956507974901,7057.9848144383595,"BAC",16000,-8942.01518556164,2018,"below","EQS.OSPAR",64000,-56942.01518556164,2018,"below",,,,
"Denmark_Ittoqqortoormiit District HG Ursus maritimus HA Adult_female","1","East of Iceland","Greenland Sea","Denmark","12832","Ittoqqortoormiit District","Mammals procured from Ittoqqortoormiit District",70.3,-22,"RH","MO","HG","Metals","Ursus maritimus","HA","D","ug/kg",,,"Adult_female","large_filled_circle","green",16,14,14,1984,1999,2018,,0.2935,0.2935,0.2935,-1.3,0.2935,-1.3,11.6,5501.692982441077,7261.292900002433,"BAC",6100,1161.2929000024333,2018,"above","EQS.OSPAR",24400,-17138.707099997566,2018,"below",,,,
"Denmark_Ittoqqortoormiit District HG Ursus maritimus HA Juvenile","1","East of Iceland","Greenland Sea","Denmark","12832","Ittoqqortoormiit District","Mammals procured from Ittoqqortoormiit District",70.3,-22,"RH","MO","HG","Metals","Ursus maritimus","HA","D","ug/kg",,,"Juvenile","upward_triangle","green",21,17,17,1984,1999,2018,,0.0047,0.0047,0.0047,2.5,0.0047,2.5,7.9,6945.700804380722,8235.279779072684,"BAC",6100,2135.2797790726836,3000,"above","EQS.OSPAR",24400,-16164.720220927316,2018,"below",,,,
"Denmark_Ittoqqortoormiit District HG Ursus maritimus HA Adult_male","1","East of Iceland","Greenland Sea","Denmark","12832","Ittoqqortoormiit District","Mammals procured from Ittoqqortoormiit District",70.3,-22,"RH","MO","HG","Metals","Ursus maritimus","HA","D","ug/kg",,,"Adult_male","upward_triangle","green",17,16,16,1984,1999,2018,,0.0355,0.0355,0.0355,2.3,0.0355,2.3,10.2,8581.14906162177,10396.489296812622,"BAC",6100,4296.489296812622,3000,"above","EQS.OSPAR",24400,-14003.510703187378,2018,"below",,,,
"Denmark_Ittoqqortoormiit District HG Ursus maritimus LI Juvenile","1","East of Iceland","Greenland Sea","Denmark","12832","Ittoqqortoormiit District","Mammals procured from Ittoqqortoormiit District",70.3,-22,"RH","MO","HG","Metals","Ursus maritimus","LI","W","ug/kg",,,"Juvenile","upward_triangle","green",28,28,28,1983,1983,2018,0.0027,0.0415,4e-4,2e-4,5.4,0.0481,4.2,16.4,18815.105082793023,32483.465004610982,"BAC",16000,16483.465004610982,3000,"above","EQS.OSPAR",64000,-31516.534995389018,2018,"below",,,,
"Denmark_Ittoqqortoormiit District HG Ursus maritimus LI Adult_female","1","East of Iceland","Greenland Sea","Denmark","12832","Ittoqqortoormiit District","Mammals procured from Ittoqqortoormiit District",70.3,-22,"RH","MO","HG","Metals","Ursus maritimus","LI","W","ug/kg",,,"Adult_female","large_filled_circle","green",22,22,22,1984,1984,2018,,0.9622,0.9622,0.9622,0.1,0.9622,0.1,26.9,22565.155092969384,37180.68703115155,"BAC",16000,21180.687031151552,3000,"above","EQS.OSPAR",64000,-26819.312968848448,2018,"above",,,,
"Denmark_Ittoqqortoormiit District HG Ursus maritimus LI Adult_male","1","East of Iceland","Greenland Sea","Denmark","12832","Ittoqqortoormiit District","Mammals procured from Ittoqqortoormiit District",70.3,-22,"RH","MO","HG","Metals","Ursus maritimus","LI","W","ug/kg",,,"Adult_male","large_filled_circle","green",24,24,24,1984,1984,2018,,0.2305,0.2305,0.2305,1.8,0.2305,1.8,28.5,25769.81228762445,39815.75893500984,"BAC",16000,23815.758935009842,3000,"above","EQS.OSPAR",64000,-24184.241064990158,2018,"below",,,,
"Denmark_Ittoqqortoormiit Ukaleqarteq HG Alle alle BL Not_applicable","1","East of Iceland",,"Denmark","A130","Ittoqqortoormiit Ukaleqarteq",,70.72,-21.55,,,"HG","Metals","Alle alle","BL","D","ug/kg",,,"Not_applicable","large_filled_circle","green",10,10,10,2005,2005,2015,,0.1147,0.1147,0.1147,1.6,0.1147,1.6,3.6,938.2994443437822,1031.273187523318,"BAC",952.3809523809524,78.89223514236562,2015,"above","EQS.OSPAR",4761.9047619047615,-3730.6315743814434,2015,"below",,,,
"Denmark_Ittoqqortoormiit Ukaleqarteq HG Alle alle FE Not_applicable","1","East of Iceland",,"Denmark","A130","Ittoqqortoormiit Ukaleqarteq",,70.72,-21.55,,,"HG","Metals","Alle alle","FE","D","ug/kg",,,"Not_applicable","large_filled_circle","green",10,10,10,2007,2007,2016,,0.0822,0.0822,0.0822,3,0.0822,3,5.8,1409.1687296007537,1651.652660307655,"BAC",1580,71.65266030765497,2016,"below","EQS.OSPAR",7920,-6268.3473396923455,2016,"below",,,,
"Denmark_Føroyskar hvalvágir HG Globicephala melas LI Adult","1","Greenland-Scotland ridge","Faroes","Denmark","902","Føroyskar hvalvágir",,62,-7,"RH","CF","HG","Metals","Globicephala melas","LI","W","ug/kg",,,"Adult","large_filled_circle","red",12,12,12,2001,2001,2017,,0.504,0.504,0.504,-1.5,0.504,-1.5,15.8,79267.38527706769,113003.21275542959,"BAC",16000,97003.21275542959,2123,"above","EQS.OSPAR",64000,49003.21275542959,2031,"above",,,,
"Denmark_Føroyskar hvalvágir HG Globicephala melas LI Juvenile_male","1","Greenland-Scotland ridge","Faroes","Denmark","902","Føroyskar hvalvágir",,62,-7,"RH","CF","HG","Metals","Globicephala melas","LI","W","ug/kg",,,"Juvenile_male","small_filled_circle","red",6,4,4,2001,2011,2015,,,,,,,,20.5,48993.86037723384,88847.64319753434,"BAC",16000,72847.64319753434,,"above","EQS.OSPAR",64000,24847.643197534344,2015,"above",,,,
"Denmark_Føroyskar hvalvágir HG Globicephala melas MU Adult","1","Greenland-Scotland ridge","Faroes","Denmark","902","Føroyskar hvalvágir",,62,-7,"RH","CF","HG","Metals","Globicephala melas","MU","W","ug/kg",,,"Adult","large_filled_circle","black",15,12,12,1979,1997,2015,,0.2568,0.2568,0.2568,1.2,0.2568,1.2,7.2,2358.1502094222633,2964.798164379951,,,,,,,,,,,,,,
"Denmark_Føroyskar hvalvágir HG Globicephala melas MU Juvenile_male","1","Greenland-Scotland ridge","Faroes","Denmark","902","Føroyskar hvalvágir",,62,-7,"RH","CF","HG","Metals","Globicephala melas","MU","W","ug/kg",,,"Juvenile_male","upward_triangle","black",18,16,16,1986,1997,2017,0.0038,0.0435,4e-4,0.0167,1.2,0.001,2.2,4.8,2328.0666208923944,2612.7209496631176,,,,,,,,,,,,,,
"Denmark_Koltur HG Cepphus grylle EH Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","909","Koltur",,61.99447,-6.99343,"RH","L","HG","Metals","Cepphus grylle","EH","W","ug/kg",,,"Not_applicable","upward_triangle","red",11,11,11,1999,1999,2016,,4e-4,4e-4,4e-4,4.5,4e-4,4.5,7.1,735.825662429888,890.8406832570353,"BAC",110,780.8406832570353,3000,"above","EQS.OSPAR",470,420.84068325703527,3000,"above",,,,
"Denmark_Mýlingsgrunnur HG Gadus morhua MU Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","911","Mýlingsgrunnur","Mýlingsgrunnur",62.38333,-7.41667,"RH","MO","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","large_filled_circle","red",29,29,29,1979,1979,2017,3e-4,1e-4,0,1e-4,-3.4,0.554,0.9,12.8,27.54570464662239,39.34993254525574,,,,,,"EQS.OSPAR",20,19.34993254525574,3000,"above",500,-460.65006745474426,2017,"below"
"Denmark_Sveipur HG Cepphus grylle FE Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","917","Sveipur",,61.95,-6.71667,"RH","L","HG","Metals","Cepphus grylle","FE","W","ug/kg",,,"Not_applicable","large_filled_circle","black",8,8,8,1996,1996,2015,,0.9036,0.9036,0.9036,-0.1,0.9036,-0.1,6.9,3191.3881454365473,3878.220015802868,,,,,,,,,,,,,,
"Denmark_Sveipur HG Cepphus grylle LI Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","917","Sveipur",,61.95,-6.71667,"RH","L","HG","Metals","Cepphus grylle","LI","W","ug/kg",,,"Not_applicable","upward_triangle","green",9,9,9,1995,1995,2015,,1e-4,1e-4,1e-4,5.9,1e-4,5.9,6.9,1400.9650120229328,1685.0955344223958,"BAC",1400,285.09553442239576,3000,"below","EQS.OSPAR",7300,-5614.904465577604,2015,"below",,,,
"Denmark_Tindhólmur HG Cepphus grylle FE Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","919","Tindhólmur",,62.079,-7.43217,"RH","L","HG","Metals","Cepphus grylle","FE","W","ug/kg",,,"Not_applicable","large_filled_circle","black",6,6,6,2005,2005,2015,,0.623,0.623,0.623,0.9,0.623,0.9,5.5,3504.920513814111,4321.732081228813,,,,,,,,,,,,,,
"Denmark_Tindhólmur HG Cepphus grylle LI Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","919","Tindhólmur",,62.079,-7.43217,"RH","L","HG","Metals","Cepphus grylle","LI","W","ug/kg",,,"Not_applicable","large_filled_circle","green",6,6,6,2005,2005,2015,,0.0943,0.0943,0.0943,3.8,0.0943,3.8,6.7,1589.2734186683865,2052.7143827209707,"BAC",1400,652.7143827209707,3000,"above","EQS.OSPAR",7300,-5247.285617279029,2015,"below",,,,
"Denmark_Vestmanna HG Fulmarus glacialis FE Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","921","Vestmanna",,62.15383,-7.15983,"RH","CF","HG","Metals","Fulmarus glacialis","FE","W","ug/kg",,,"Not_applicable","small_open_circle","black",2,2,2,2016,2016,2017,,,,,,,,,758.2229223651844,,,,,,,,,,,,,,,
"Denmark_Vestmanna HG Fulmarus glacialis LI Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","921","Vestmanna",,62.15383,-7.15983,"RH","CF","HG","Metals","Fulmarus glacialis","LI","W","ug/kg",,,"Not_applicable","small_open_circle","blue",2,2,2,2016,2016,2017,,,,,,,,,288.88925213652374,,"BAC",1400,-1111.1107478634763,2017,,"EQS.OSPAR",7300,-7011.110747863477,2017,,,,,
"Denmark_Vestmanna HG Fulmarus glacialis MU Not_applicable","1","Greenland-Scotland ridge","Faroes","Denmark","921","Vestmanna",,62.15383,-7.15983,"RH","CF","HG","Metals","Fulmarus glacialis","MU","W","ug/kg",,,"Not_applicable","small_filled_circle","black",3,3,3,2008,2008,2017,,,,,,,,5.7,17.74399213827675,22.476044795378364,,,,,,,,,,,,,,
"Iceland_Hvalskurðara HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","11233","Hvalskurðara","Hvalskurðara í Skotufirdi",65.898667,-22.83333,"IH-W","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","blue",4,4,3,2016,2016,2019,,,,,,,,12.2,55.062479904840224,87.5155431067329,"BAC",90,-2.484456893267094,2019,,"EQS.OSPAR",121.95121951219514,-34.43567640546223,2019,,3048.7804878048782,-2961.2649446981454,2019,
"Iceland_Hvassahraun HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2953","Hvassahraun",,64.05,-22.2944,"B","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","blue",24,24,18,1993,1993,2020,,0.7462,0.7462,0.7462,0.3,0.7462,0.3,12.4,49.72277080281497,62.64732504689574,"BAC",90,-27.352674953104263,2020,"below","EQS.OSPAR",121.95121951219514,-59.3038944652994,2020,"below",3048.7804878048782,-2986.1331627579825,2020,"below"
"Iceland_Hvitanes Hvalfjordur HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2954","Hvitanes Hvalfjordur",,64.36417,-21.495,"B","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","blue",25,25,19,1993,1993,2020,,0.3154,0.3154,0.3154,-0.9,0.3154,-0.9,13.3,29.014290266110493,37.90769892750977,"BAC",90,-52.09230107249023,2020,"below","EQS.OSPAR",121.95121951219514,-84.04352058468537,2020,"below",3048.7804878048782,-3010.8727888773683,2020,"below"
"Iceland_Kálfavík HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","13073","Kálfavík","Kálfavík í Skötufirði",65.9025,-22.82,"B","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","blue",1,1,1,2020,2020,2020,,,,,,,,,59.999999999999986,,"BAC",90,-30.000000000000014,2020,,"EQS.OSPAR",121.95121951219514,-61.95121951219515,2020,,3048.7804878048782,-2988.7804878048782,2020,
"Iceland_Mjoifjordur (Dalatangi) HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2955","Mjoifjordur (Dalatangi)",,65.2705,-13.582,"B","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","upward_triangle","red",15,15,15,1997,1997,2019,3e-4,0.0208,0,0.0726,1,0,3.2,4.3,117.09324539933245,134.16064677446107,"BAC",90,44.16064677446107,3000,"above","EQS.OSPAR",121.95121951219514,12.209427262265933,2019,"above",3048.7804878048782,-2914.6198410304173,2019,"below"
"Iceland_Mjoifjordur (head) HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2956","Mjoifjordur (head)",,65.18583,-14.0133,"B","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","upward_triangle","blue",18,18,16,1996,1996,2020,,0.0295,0.0295,0.0295,1.3,0.0295,1.3,8.1,61.365972686104946,70.86706131402285,"BAC",90,-19.13293868597715,2020,"below","EQS.OSPAR",121.95121951219514,-51.08415819817229,2020,"below",3048.7804878048782,-2977.9134264908553,2020,"below"
"Iceland_Mjoifjordur (Hofsa) HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2957","Mjoifjordur (Hofsa)",,65.202,-13.81667,"B","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","downward_triangle","blue",18,18,16,1995,1995,2020,0.0193,0.0327,0.0015,0.021,-1.3,0.0026,-2.5,6.9,33.187462240143574,39.82272781474939,"BAC",90,-50.17727218525061,2020,"below","EQS.OSPAR",121.95121951219514,-82.12849169744575,2020,"below",3048.7804878048782,-3008.957759990129,2020,"below"
"Iceland_North-Northwest off Iceland HG Gadus morhua MU Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2959","North-Northwest off Iceland",,66.9235,-22.89483,"B","MO","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","large_filled_circle","red",26,26,26,1990,1990,2019,,0.9796,0.9796,0.9796,-0,0.9796,-0,16.9,31.0419825259354,41.525527709824416,,,,,,"EQS.OSPAR",20,21.525527709824416,3000,"above",500,-458.4744722901756,2019,"below"
"Iceland_North-Northwest off Iceland HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2959","North-Northwest off Iceland",,66.9235,-22.89483,"B","MO","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_open_circle","green",3,1,1,1996,2016,2016,,,,,,,,,90,,"BAC",90,0,,,"EQS.OSPAR",121.95121951219514,-31.951219512195138,2016,,3048.7804878048782,-2958.7804878048782,2016,
"Iceland_Northeast off Iceland HG Gadus morhua MU Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2958","Northeast off Iceland",,65.24167,-12.1255,"B","MO","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","large_filled_circle","red",26,26,26,1990,1990,2020,,0.2498,0.2498,0.2498,1,0.2498,1,13.1,31.23472465415974,43.232999487166396,,,,,,"EQS.OSPAR",20,23.232999487166396,3000,"above",500,-456.7670005128336,2020,"below"
"Iceland_Straumur Straumsvik HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2963","Straumur Straumsvik",,64.1806,-22.2389,"B","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","blue",24,24,20,1993,1993,2020,,0.47,0.47,0.47,-0.5,0.47,-0.5,10.9,40.0432376015589,49.36228580744272,"BAC",90,-40.63771419255728,2020,"below","EQS.OSPAR",121.95121951219514,-72.58893370475242,2020,"below",3048.7804878048782,-2999.4182019974355,2020,"below"
"Iceland_Ulfsa Skutulsfjordur HG Mytilus edulis SB Not_applicable","1","Greenland-Scotland ridge","Icelandic Waters","Iceland","2964","Ulfsa Skutulsfjordur",,66.06,-23.1661,"B","C","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","large_filled_circle","green",19,19,19,1997,1997,2020,,0.8729,0.8729,0.8729,-0.2,0.8729,-0.2,14.3,78.65128142970076,108.85390766496637,"BAC",90,18.85390766496637,2020,"above","EQS.OSPAR",121.95121951219514,-13.097311847228767,2020,"below",3048.7804878048782,-2939.926580139912,2020,"below"
"Norway_28A2 Ålesund harbour HG Mytilus edulis SB Not_applicable","1","Norwegian Sea","Norwegian Sea","Norway","12207","28A2 Ålesund harbour","28A2 Ålesund harbour",62.46585,6.2396,"IH-H","CF","HG","Metals","Mytilus edulis","SB","D","ug/kg",,,"Not_applicable","small_filled_circle","red",4,4,4,2017,2017,2020,,,,,,,,11.6,126.11112045168123,177.34582598843463,"BAC",90,87.34582598843463,,,"EQS.OSPAR",121.95121951219514,55.39460647623949,,,3048.7804878048782,-2871.4346618164436,2020,
"Norway_28B Ålesund area by Hundsvær HG Gadus morhua MU Not_applicable","1","Norwegian Sea","Norwegian Sea","Norway","4849","28B Ålesund area by Hundsvær","28B Ålesund harbour area",62.46778,6.06862,"RH","CF","HG","Metals","Gadus morhua","MU","W","ug/kg",,,"Not_applicable","downward_triangle","red",7,7,7,2013,2013,2020,,0.0205,0.0205,0.0205,-13.4,0.0205,-13.4,11,161.37301857193876,227.67105017624866,,,,,,"EQS.OSPAR",20,207.67105017624866,2036,"above",500,-272.3289498237514,2020,"below"
